customer_id,first_order_date,last_order_date,retention_period,order_count,total_revenue,completed_hours,revenue_per_hour
M029-MHF,1/18/2023,3/22/2024,429,21,43034.28,136.02,316.3820026
Y002-YNGTC,1/5/2023,11/8/2024,673,325,8319146.28,25812.8,322.2876356
A007-ATR,8/8/2023,8/8/2023,0,1,1245,3.79,328.4960422
A050-ALLVA,1/2/2023,11/8/2024,676,43,185338.41,544.54,340.3577515
S028-SAWTR,1/5/2023,10/23/2024,657,45,298994.65,877.61,340.6919361
S038-STLKI,1/2/2023,11/13/2024,681,314,1993566.46,5715.53,348.7981797
M030-MORGO,1/5/2023,11/12/2024,677,2721,8458041.04,23266.4,363.5302857
T040-TURBO,6/23/2023,4/25/2024,307,2,21760,58.55,371.648164
R029-RUSTI,1/13/2023,9/26/2023,256,8,40495.67,108.42,373.5073787
A055-AIG,1/30/2024,1/30/2024,0,1,160.86,0.43,374.0930233
B035-BAC,2/2/2024,10/3/2024,244,41,1143699.46,3034.64,376.8814291
E023-ECI,4/11/2023,8/30/2023,141,3,6202.8,16.17,383.5992579
A029-A&ECO,1/9/2023,10/3/2024,633,11,20081.81,51.67,388.655119
C057-CAGES,1/6/2023,8/23/2024,595,8,100729.9,258.35,389.8970389
V004-VIBRO,2/15/2023,10/29/2024,622,15,23774,60.27,394.4582711
D011-DAIKI,1/23/2023,10/29/2024,645,25,130962.65,327.84,399.471236
K005-KGMFG,1/18/2023,11/14/2023,300,6,28247.07,69.66,405.4991387
M044-MCFAB,1/5/2023,8/12/2024,585,21,50425.7,118.14,426.8300322
D002-DCRAF,3/24/2023,6/17/2024,451,5,2105.2,4.71,446.9639066
H018-HEIL,5/31/2024,7/17/2024,47,2,36494.6,80.55,453.0676598
K016-KELVI,1/5/2023,11/13/2024,678,95,537460.09,1173.54,457.9819094
M040-MORRI,3/16/2023,7/9/2024,481,34,169003.51,360.42,468.9071361
K007-KENWO,1/5/2023,9/16/2024,620,59,306671.76,638.41,480.3680393
P013-PENSA,1/18/2023,8/29/2024,589,32,156943.33,297.37,527.7712278
P031-PURSU,1/16/2023,11/30/2023,318,2,4200,7.27,577.7166437
A054-AVAIL,1/19/2024,10/14/2024,269,17,81066.27,139.22,582.2889671
R023-ROBNS,6/22/2023,6/22/2023,0,1,2812.24,4.8,585.8833333
H026-HUSSM,1/18/2023,11/12/2024,664,116,730257.05,1208.5,604.2673149
B002-BSAMA,4/11/2023,7/23/2024,469,3,18101.7,28.57,633.5911796
U005-UTELC,1/18/2023,8/1/2024,561,10,9000,13.87,648.8824802
H014-HEATE,2/28/2023,6/3/2024,461,6,56271.18,71.23,789.9926997
R024-RAINB,1/10/2023,10/23/2024,652,38,82615.58,104.35,791.7161476
T026-TALOS,2/17/2023,10/2/2024,593,49,186553.08,231.75,804.975534
W004-WESLE,6/29/2023,7/17/2024,384,6,1760.32,1.96,898.122449
N020-NEXT,5/2/2023,8/28/2024,484,6,12002.5,9,1333.611111
S024-SMF,6/26/2024,6/26/2024,0,1,174.52,0.13,1342.461538
T049-TRU-C,1/4/2023,9/14/2023,253,3,7282.9,5.3,1374.132075
C054,2/22/2023,1/10/2024,322,4,2179.1,1.48,1472.364865
T042-TRIAN,1/4/2023,8/5/2024,579,7,1535.25,1.02,1505.147059
P025-PROCB,5/19/2023,5/19/2023,0,1,481.2,0.29,1659.310345
P014-PRMPT,1/19/2023,6/12/2024,510,11,10748.51,6.38,1684.719436
V009-VERME,10/12/2023,10/12/2023,0,1,422,0.23,1834.782609
D015-DVSMA,5/17/2023,7/16/2024,426,3,865.74,0.43,2013.348837
T051-TOYOT,5/16/2024,5/16/2024,0,1,750,0.27,2777.777778
Y001-YOKOG,2/15/2023,9/25/2023,222,5,2954.32,1.04,2840.692308
K008-KINGI,5/31/2023,5/31/2023,0,1,83.13,0.02,4156.5
V006-VONGA,1/27/2023,1/27/2023,0,1,3038.6,0.7,4340.857143
T011-T&RFI,1/19/2023,1/19/2023,0,1,3369.15,0.36,9358.75
F024-FMW S,11/12/2024,11/12/2024,0,1,2218.57,0,0
H033-HERM,10/10/2024,10/10/2024,0,1,345.06,0,0
I014-INDUS,2/29/2024,2/29/2024,0,1,396.78,0,0
L019-LEEMN,6/6/2024,6/6/2024,0,1,6235.82,0,0
T034-TENCA,11/11/2024,11/11/2024,0,1,594.24,0,0
T052-TGSP,7/2/2024,7/2/2024,0,1,92.01,0,0
H034-HTMX,7/18/2023,10/17/2023,91,2,4608.65,0,0
