"sales_order_number","customer_id","order_date","shipping_method","terms","web_order","subtotal","total","order_weight","first_order_month","months_since_first_order"
31030,"S002-SREIL",2023-07-25,NA,"NET30",FALSE,181.4,181.4,0,2023-01-01,6
31031,"H026-HUSSM",2023-07-25,"CST-D","NET30",FALSE,9069.6,9069.6,0,2023-01-01,6
31032,"E024-EMC",2023-07-25,NA,NA,FALSE,6671,6671,0,2023-07-01,0
31033,"S046-SPOC",2023-07-25,NA,"NET30",FALSE,2649.25,2649.25,0,2023-01-01,6
31035,"W007-WAHSE",2023-07-25,NA,NA,FALSE,1864,1864,0,2023-01-01,6
31036,"Y002-YNGTC",2023-07-25,"CST-D",NA,FALSE,2897,2897,0,2023-01-01,6
31038,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,7651.5,7651.5,0,2023-01-01,6
30983,"M030-MORGO",2023-07-21,"MWS-T","NET45",FALSE,15369,15369,0,2023-01-01,6
30984,"M030-MORGO",2023-07-21,"MWS-T","NET45",FALSE,15369,15369,0,2023-01-01,6
30986,"C006-C&DTE",2023-07-21,"MWS-T","NET30",FALSE,872.55,872.55,0,2023-01-01,6
30993,"M030-MORGO",2023-07-21,NA,"NET45",FALSE,25160.4,25160.4,0,2023-01-01,6
30994,"M030-MORGO",2023-07-21,NA,"NET45",FALSE,25160.4,25160.4,0,2023-01-01,6
30997,"S046-SPOC",2023-07-21,NA,"NET30",FALSE,2132,2132,0,2023-01-01,6
30998,"S046-SPOC",2023-07-21,NA,"NET30",FALSE,2132,2132,0,2023-01-01,6
31000,"A045-AFS",2023-07-21,NA,NA,FALSE,9990,9990,1206,2023-01-01,6
31040,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,3272,3272,0,2023-01-01,6
31041,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,3272,3272,0,2023-01-01,6
31046,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,381,381,0,2023-01-01,6
31047,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,370.5,370.5,0,2023-01-01,6
31048,"M030-MORGO",2023-07-25,"MWS-T","NET45",FALSE,325.5,325.5,0,2023-01-01,6
30988,"S038-STLKI",2023-07-21,"MWS-T","NET60",FALSE,7169.25,7169.25,0,2023-01-01,6
30989,"K007-KENWO",2023-07-21,"MWS-T","NET30",FALSE,4669.56,4669.56,0,2023-01-01,6
30990,"S002-SREIL",2023-07-21,NA,"NET30",FALSE,4507.6,4507.6,0,2023-01-01,6
30991,"S002-SREIL",2023-07-21,NA,"NET30",FALSE,4507.6,4507.6,0,2023-01-01,6
30992,"S038-STLKI",2023-07-21,"MWS-T","NET60",FALSE,1179,1179,0,2023-01-01,6
