sales_order_number,uom,part_group,short_description,long_description,order_quantity,quantity_shipped,base_price,extended_price
28382,EA,LVSLS,177005412 *CUST SUPPLIED MAT. .100 59X96 ALUM*,NA,70,70,2.04,142.8
28383,EA,LVSLS,177005411 *CUST SUPPLIED MAT. .100 59X96 ALUM*,NA,70,70,2.04,142.8
28386,EA,LVSLS,087032405 WHEEL BX END PANEL RH,"087032405 WHEEL BX END PANEL RH
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",70,70,2.47,172.9
28387,EA,LVSLS,117005403 WASHER BOTTLE BRACKET FCC UPS SCS HEATER,"117005403 WASHER BOTTLE BRACKET FCC UPS SCS HEATER
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",70,70,2.17,151.9
28388,EA,LVSLS,117005404 BRC BTL BRKT,"117005404 BRC BTL BRKT
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",70,70,2.55,178.5
28389,EA,LVSLS,117094400 BRKT MDL,"117094400 BRKT MDL
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",70,70,2.27,158.9
28363,EA,LVSLS,YT448261 TANK SHELL TOP 25.63 56.43 .250,NA,25,25,132.05,3301.25
28381,EA,LVSLS,157041409 *CUST SUPPLIED MAT. .100 59X96 ALUM*,NA,70,70,8.56,599.2
28384,EA,LVSLS,147052400 *CUST SUPPLIED MAT. .100 59X96 ALUM*,NA,70,70,3.08,215.6
28385,EA,LVSLS,087032404 WHEEL BX END PANEL LH,"087032404 WHEEL BX END PANEL LH
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",70,70,2.54,177.8
28390,EA,LVSLS,127070401 HDR BHD Z AL .102 X 12.48 X 87.41,"127070401 HDR BHD Z AL .102 X 12.48 X 87.41
***(CUST SUPPLIED .102 X 59 X 96 W/ PVC)***
",70,68,11.69,818.3
28391,EA,LVSLS,177070401 PLT SL BHD HDR,"177070401 PLT SL BHD HDR
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",140,140,1.57,219.8
28392,EA,LVSLS,187050412 GRD LMP SI,"187050412 GRD LMP SI
***CUSTOMER SUPPLIED MATERIAL .102'' X 59'' X 96'' W/ PVC***",140,140,3.88,543.2
28393,EA,LVSLS,98760307 STFNR LWR .102X7.74X28.18 RH,"98760307 STFNR LWR .102X7.74X28.18 RH
***(CUST SUPPLIED .102 X 59 X 96 W/ PVC)***",70,70,5.35,374.5
28365,EA,LVSLS,0003-9169-00S3 INNER BLOCK STRIP,0003-9169-00S3 INNER BLOCK STRIP,6,6,10.32,61.92
28366,EA,LVSLS,"15IB13204A FLOOR SUPPORT CROSS BRACE, LONG T500","15IB13204A FLOOR SUPPORT CROSS BRACE, LONG T500",300,300,2.33,699
28367,EA,LVSLS,WELD ON NECKLACE HANGER,WELD ON NECKLACE HANGER,50,50,4.73,236.5
28368,EA,LVSLS,177041404 DOOR POCKET PANEL LH (CUST SUP MAT,177041404 PNL D/PKT ,70,70,20.98,1468.6
28369,EA,LVSLS,177041405 DOOR POCKET PANEL RH (*CUST SUPP MAT*),177041405 PNL D/PKT ALUM .102X42.27X87.65 RH (***CUST SUPPLIED MATERIAL ALUM .102 X 48 X 96 w/PVC***),70,70,20.98,1468.6
28370,EA,LVSLS,117032400 W/BX WRAPPER 44'' 88W FCC,"117032400 W/BX WRAPPER 44'' 88W FCC
***CUSTOMER SUPPLIED .125 X 56 X 96***",240,240,9.52,2284.8
28371,EA,LVSLS,001710410 ROOF BOW,001710410 ROOF BOW,90,90,9.49,854.1
28372,EA,LVSLS,005774400 ANG AL MTG .125 X 6.81 X 107.12,"005774400 ANG AL MTG .125 X 6.81 X 107.12
***CUSTOMER SUPPLIED MATERIAL .125 X 56 X 110 W/ PVC***",182,182,7.05,1283.1
35807,EA,LVSLS,100707714,CHASSIS: RHINO-4F - TOP CORNER PLATE,320,0,1.51,483.2
35812,EA,LVSLS,011575-042-00001 Assy couple plate topcladding (TT,011575-042-00001 Assy couple plate topcladding (TT),180,0,44.98,8096.4
35813,EA,LVSLS,91767,Laser cut 91767.dxf on .125 thick 6061-T6 ,105,0,3.02,317.1
35814,EA,LVSLS,MS-501 SETTLESTOP WALL BRACE BRACKET,MS-501 SETTLESTOP WALL BRACE BRACKET,300,0,33.3,9990
35816,EA,LVSLS,190105411 BRKT SHLF STL X 5.77 X 7.29 RH,190105411 BRKT SHLF STL .188 GRADE 50,240,0,5.79,1389.6
35826,EA,LVSLS,F022-0002 25C200MTP,F022-0002 25C200MTP,40,40,1,40
35827,EA,LVSLS,"11963 .188 HRPO 12.125"" X 57""","11963 .188 HRPO 12.125"" X 57""",16,0,32.11,513.76
35827,EA,LVSLS,"11961 .188 HRPO 107.18"" X 70.0016""","11961 .188 HRPO 107.18"" X 70.0016"" ",5,0,303.61,1518.05
35808,EA,LVSLS,516-2.0-RG180-0625,516-2.0-RG180-0625,60,60,15.74,944.4
35819,EA,LVSLS,"105-136 ENCL SECT, BREAKER MNT PANEL, GAL, BLA-KD","105-136 ENCL SECT, BREAKER MNT PANEL, GAL, BLA-KD",25,0,29.12,728
35821,EA,LVSLS,YT442113 TANK SHELL TOP 26.35 57.83 .250,YT442113 TANK SHELL TOP 26.35 57.83 .250,30,0,104.41,3132.3
35828,EA,LVSLS,316080 PFC; CVR PLATE; BEARINGMOUNT,316080 PFC; CVR PLATE; BEARINGMOUNT,2,0,19.06,38.12
35828,EA,LVSLS,"609821 FAB; TUBE, JACK, OUTER","609821 FAB; TUBE, JACK, OUTER",14,0,63.27,885.78
35829,EA,LVSLS,303347 WMNT;STEP;20L,303347 WMNT;STEP;20L,24,0,41.32,991.68
35830,EA,LVSLS,207008202 BPR BRKT A WLDMT,BPR BRKT A WLDMT,50,0,26.83,1341.5
